timestamp,heart_rate_bpm
2018-03-15 08:00:00,93
2018-03-15 08:04:44,73
2018-03-15 08:08:54,73
2018-03-15 08:12:34,70
2018-03-15 08:17:19,68
2018-03-15 08:22:47,68
2018-03-15 08:26:26,68
2018-03-15 08:31:44,69
2018-03-15 08:37:30,69
2018-03-15 08:41:30,69
2018-03-15 08:48:13,70
2018-03-15 08:52:02,70
2018-03-15 08:59:13,71
2018-03-15 09:03:03,70
2018-03-15 09:09:10,70
2018-03-15 09:14:25,70
2018-03-15 09:16:39,71
2018-03-15 09:23:26,70
2018-03-15 09:27:20,72
2018-03-15 09:32:59,71
2018-03-15 09:38:37,71
2018-03-15 09:42:57,73
2018-03-15 09:47:20,72
2018-03-15 09:55:48,66
2018-03-15 09:58:21,69
2018-03-15 10:02:36,68
2018-03-15 10:06:56,68
2018-03-15 10:12:08,71
2018-03-15 10:20:13,71
2018-03-15 10:21:49,76
2018-03-15 10:29:05,67
2018-03-15 10:31:30,66
2018-03-15 10:36:36,67
2018-03-15 10:42:12,69
2018-03-15 10:49:53,68
2018-03-15 10:51:33,66
2018-03-15 10:57:54,65
2018-03-15 11:01:39,65
2018-03-15 11:07:01,66
2018-03-15 11:12:14,63
2018-03-15 11:17:47,66
2018-03-15 11:22:47,67
2018-03-15 11:27:24,68
2018-03-15 11:32:14,68
2018-03-15 11:37:55,66
2018-03-15 11:42:10,70
2018-03-15 11:46:25,69
2018-03-15 11:56:11,69
2018-03-15 11:57:29,67
2018-03-15 12:02:45,67
2018-03-15 12:07:34,70
2018-03-15 12:11:39,74
2018-03-15 12:16:54,68
2018-03-15 12:27:11,108
2018-03-15 12:36:23,80
2018-03-15 12:40:41,76
2018-03-15 12:42:49,68
2018-03-15 12:47:53,68
2018-03-15 12:52:27,65
2018-03-15 12:56:32,67
2018-03-15 13:05:46,73
2018-03-15 13:09:04,74
2018-03-15 13:11:53,84
2018-03-15 13:19:14,98
2018-03-15 13:24:51,71
2018-03-15 13:27:47,77
2018-03-15 14:21:42,78
2018-03-15 14:26:41,76
2018-03-15 14:36:18,78
2018-03-15 14:38:27,93
2018-03-15 14:43:49,86
2018-03-15 14:47:27,111
2018-03-15 14:50:13,78
2018-03-15 14:53:32,69
2018-03-15 14:57:49,69
2018-03-15 15:03:49,68
2018-03-15 15:07:15,68
2018-03-15 15:11:40,68
2018-03-15 15:16:58,69
2018-03-15 15:23:13,72
2018-03-15 15:27:29,68
2018-03-15 15:32:51,68
2018-03-15 15:45:54,71
2018-03-15 15:54:38,67
2018-03-15 15:57:44,68
2018-03-15 16:05:56,73
2018-03-15 16:07:01,72
2018-03-15 16:12:23,74
2018-03-15 16:21:23,72
2018-03-15 16:25:14,70
2018-03-15 16:29:19,72
2018-03-15 16:31:49,71
2018-03-15 16:37:11,71
2018-03-15 16:43:11,71
2018-03-15 16:47:57,70
2018-03-15 16:53:46,67
2018-03-15 16:58:13,67
2018-03-15 17:02:35,68
2018-03-15 17:11:34,69
2018-03-15 17:13:26,69
2018-03-15 17:18:36,67
2018-03-15 17:24:07,68
2018-03-15 17:28:27,66
2018-03-15 17:38:32,75
2018-03-15 17:51:51,76
2018-03-15 17:59:26,78
2018-03-15 18:06:06,74
2018-03-15 18:09:29,75
2018-03-15 18:12:26,82
2018-03-15 18:21:05,83
2018-03-15 18:26:23,82
2018-03-15 18:30:58,69
2018-03-15 18:34:32,108
2018-03-15 19:12:09,74
2018-03-15 19:18:35,94
2018-03-15 19:21:48,92
2018-03-15 19:26:43,119
2018-03-15 19:29:29,114
2018-03-15 19:32:35,115
2018-03-15 19:32:58,106
2018-03-15 19:38:41,93
2018-03-15 19:49:56,82
2018-03-15 19:53:38,83
2018-03-15 19:58:52,84
2018-03-15 20:06:01,86
2018-03-15 20:11:26,79
2018-03-15 20:14:35,81
2018-03-15 20:25:32,79
2018-03-15 20:31:06,72
2018-03-15 20:33:44,80
2018-03-15 20:37:01,82
2018-03-15 20:51:04,81
2018-03-15 20:54:12,77
2018-03-15 20:57:10,76
2018-03-15 21:02:12,79
2018-03-15 21:11:26,87
2018-03-15 21:16:19,79
2018-03-15 21:19:24,82
2018-03-15 21:26:01,84
2018-03-15 21:29:09,82
2018-03-15 21:35:04,80
2018-03-15 21:37:58,81
2018-03-15 21:45:52,84
2018-03-15 21:51:19,78
2018-03-15 21:52:21,80
2018-03-15 21:59:11,85
2018-03-15 22:05:34,80
2018-03-15 22:07:28,79
2018-03-15 22:11:48,82
2018-03-15 22:17:33,107
2018-03-15 22:20:17,88
2018-03-15 22:22:38,77
2018-03-15 22:26:12,95
2018-03-15 22:28:48,94
2018-03-15 22:32:02,104
2018-03-15 22:35:07,96
2018-03-15 22:42:19,72
2018-03-15 23:14:11,97
2018-03-15 23:20:27,96
2018-03-15 23:26:11,91
2018-03-15 23:36:23,88
2018-03-15 23:41:29,94
2018-03-15 23:50:12,96
2018-03-15 23:51:49,102
2018-03-16 00:00:46,90
2018-03-16 00:05:47,84
2018-03-16 00:15:41,87
2018-03-16 00:20:31,103
2018-03-16 00:25:12,99
2018-03-16 00:29:48,98
2018-03-16 00:35:51,96
2018-03-16 00:40:33,98
2018-03-16 00:41:42,90
2018-03-16 00:50:05,95
2018-03-16 00:52:26,74
2018-03-16 01:20:40,74
2018-03-16 01:24:46,72
2018-03-16 01:27:36,72
2018-03-16 01:36:25,76
2018-03-16 01:38:10,72
2018-03-16 01:44:57,72
2018-03-16 01:51:38,70
2018-03-16 01:55:38,70
2018-03-16 01:59:39,72
2018-03-16 02:05:23,78
2018-03-16 02:08:01,76
2018-03-16 02:12:19,74
2018-03-16 02:17:53,71
2018-03-16 02:21:40,71
2018-03-16 02:27:02,70
2018-03-16 02:32:51,71
2018-03-16 02:39:17,68
2018-03-16 02:44:07,68
2018-03-16 02:47:40,67
2018-03-16 02:53:23,70
2018-03-16 02:58:14,70
2018-03-16 03:02:05,72
2018-03-16 03:10:40,76
2018-03-16 03:12:49,72
2018-03-16 03:18:53,70
2018-03-16 03:25:50,70
2018-03-16 03:27:43,75
2018-03-16 03:32:23,76
2018-03-16 03:40:25,75
2018-03-16 03:46:37,69
2018-03-16 03:48:36,69
2018-03-16 03:53:24,54
2018-03-16 04:00:54,58
2018-03-16 04:05:00,69
2018-03-16 04:08:18,70
2018-03-16 04:16:31,73
2018-03-16 04:19:16,70
2018-03-16 04:23:59,69
2018-03-16 04:27:51,73
